cancer_type,NCT Number,Study Title,Sponsor,Phases,Enrollment,Funder Type,Locations,Study Documents,Zipcode
Lymphoma,NCT06014762,P-CD19CD20-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With B Cell Malignancies,"Poseida Therapeutics, Inc.",PHASE1,120,INDUSTRY,"University of California San Diego, La Jolla, California, 92093, United States|Loma Linda University Cancer Center, Loma Linda, California, 92354, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|Advent Health Orlando, Orlando, Florida, 32803, United States|Indiana University, Indianapolis, Indiana, 46202, United States|Our Lady of the Lake Hospital, Baton Rouge, Louisiana, 70808, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, 70121, United States|Wayne State - Karmanos Cancer Institute, Detroit, Michigan, 48201, United States|NYU Grossman School of Medicine, New York, New York, 10016, United States|UNC Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina, 27599, United States|University of Cincinnati, Cincinnati, Ohio, 45206, United States|University of Oklahoma, Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Pennsylvania State University, Hershey, Pennsylvania, 17033, United States|Prisma Health - Upstate Cancer Institute, Greenville, South Carolina, 29605, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Baylor Scott & White Research Institute, Dallas, Texas, 75204, United States",,17033
Lymphoma,NCT06014762,P-CD19CD20-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With B Cell Malignancies,"Poseida Therapeutics, Inc.",PHASE1,120,INDUSTRY,"University of California San Diego, La Jolla, California, 92093, United States|Loma Linda University Cancer Center, Loma Linda, California, 92354, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|Advent Health Orlando, Orlando, Florida, 32803, United States|Indiana University, Indianapolis, Indiana, 46202, United States|Our Lady of the Lake Hospital, Baton Rouge, Louisiana, 70808, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, 70121, United States|Wayne State - Karmanos Cancer Institute, Detroit, Michigan, 48201, United States|NYU Grossman School of Medicine, New York, New York, 10016, United States|UNC Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina, 27599, United States|University of Cincinnati, Cincinnati, Ohio, 45206, United States|University of Oklahoma, Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Pennsylvania State University, Hershey, Pennsylvania, 17033, United States|Prisma Health - Upstate Cancer Institute, Greenville, South Carolina, 29605, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Baylor Scott & White Research Institute, Dallas, Texas, 75204, United States",,29605
Lymphoma,NCT06014762,P-CD19CD20-ALLO1 Allogeneic CAR-T Cells in the Treatment of Subjects With B Cell Malignancies,"Poseida Therapeutics, Inc.",PHASE1,120,INDUSTRY,"University of California San Diego, La Jolla, California, 92093, United States|Loma Linda University Cancer Center, Loma Linda, California, 92354, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|Advent Health Orlando, Orlando, Florida, 32803, United States|Indiana University, Indianapolis, Indiana, 46202, United States|Our Lady of the Lake Hospital, Baton Rouge, Louisiana, 70808, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, 70121, United States|Wayne State - Karmanos Cancer Institute, Detroit, Michigan, 48201, United States|NYU Grossman School of Medicine, New York, New York, 10016, United States|UNC Lineberger Comprehensive Cancer Center, Chapel Hill, North Carolina, 27599, United States|University of Cincinnati, Cincinnati, Ohio, 45206, United States|University of Oklahoma, Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Pennsylvania State University, Hershey, Pennsylvania, 17033, United States|Prisma Health - Upstate Cancer Institute, Greenville, South Carolina, 29605, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Baylor Scott & White Research Institute, Dallas, Texas, 75204, United States",,75204
Lymphoma,NCT03081910,Autologous T-Cells Expressing a Second Generation CAR for Treatment of T-Cell Malignancies Expressing CD5 Antigen,Baylor College of Medicine,PHASE1,54,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States|Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
Lymphoma,NCT06191887,B-Cell Activating Factor Receptor (BAFFR)-Based Chimeric Antigen Receptor T-Cells With Fludarabine and Cyclophosphamide Lymphodepletion for the Treatment of Relapsed or Refractory B-cell Hematologic Malignancies,Mayo Clinic,PHASE1,27,OTHER,"Mayo Clinic in Florida, Jacksonville, Florida, 32224-9980, United States",,32224
Lymphoma,NCT07194980,Nemtabrutinib and Lisocabtagene Maraleucel for the Treatment of Relapsed/Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Fred Hutchinson Cancer Center,PHASE2,20,OTHER,"Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, 98109, United States",,98109
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,90048
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,90095
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,92037
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,80218
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,30912
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,46237
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,52242
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,40202
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,49503
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,10461
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,18103
Lymphoma,NCT05826535,Study of LYL314 in Aggressive Large B-Cell Lymphoma,"Lyell Immunopharma, Inc.",PHASE1|PHASE2,270,INDUSTRY,"University of California-Irvine Medical Center, Irvine, California, 92697, United States|Cedars-Sinai Medical Center, Los Angeles, California, 90048, United States|University of California, Los Angeles (UCLA) Medical Center, Los Angeles, California, 90095, United States|Scripps Clinic, San Diego, California, 92037, United States|Colorado Blood Cancer Institute, Denver, Colorado, 80218, United States|Augusta University Medical Center, Augusta, Georgia, 30912, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, 46237, United States|University of Iowa, Iowa City, Iowa, 52242, United States|University of Louisville Brown Cancer Center, Louisville, Kentucky, 40202, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, 71130, United States|Corewell Health, Grand Rapids, Michigan, 49503, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|University of New Mexico Comprehensive Cancer Center, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, The Bronx, New York, 10461, United States|University of Cincinnati (UC) Physicians Company, LLC, Cincinnati, Ohio, 45267, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States|Lehigh Valley Topper Cancer Center Institute, Allentown, Pennsylvania, 18103, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|West Penn Hospital, Pittsburgh, Pennsylvania, 15224, United States|Baylor University Medical Center, Dallas, Texas, 75246, United States|Texas Transplant Institute, San Antonio, Texas, 78229, United States|Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States|Intermountain Healthcare, Salt Lake City, Utah, 84143, United States|Virginia Oncology Associates, Norfolk, Virginia, 24502, United States|Virginia Commonwealth University-Massey Cancer Center, Richmond, Virginia, 23298, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,19107
