institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%
Beth Israel Deaconess Medical Center,1,4386803.0,4.386803,1.311097131623718
Massachusetts General Hospital,1,4381402.0,4.381402,1.309482918355445
Harvard Medical School - Massachusetts General Hospital,1,4381402.0,4.381402,1.309482918355445
Lucile Packard Children's Hospital Stanford,1,4377679.0,4.377679,1.30837021404184
Tufts Medical Center,1,4352392.0,4.352392,1.3008126115765895
Honor Health,1,4244848.0,4.244848,1.2686706097763396
HonorHealth,1,4244848.0,4.244848,1.2686706097763396
Univ of Miami - Sylvester Comprehensive Cancer Center,1,4120646.0,4.120646,1.2315499809398205
Sylvester Comprehensive Cancer Center,1,4120646.0,4.120646,1.2315499809398205
Local Institution - 0130,1,4120646.0,4.120646,1.2315499809398205
University of Miami,1,4120646.0,4.120646,1.2315499809398205
University of Miami Sylvester Comprehensive Cancer Center,1,4120646.0,4.120646,1.2315499809398205
Mayo Clinic in Arizona,1,4002769.0,4.002769,1.1963197240569814
Mayo Clinic in Arizona - Phoenix,1,4002769.0,4.002769,1.1963197240569814
Mayo Clinic Arizona,1,3996396.0,3.996396,1.1944150061975658
Sylvester Comprehensive Cancer Center - Miami,1,3799173.0,3.799173,1.1354703693879746
Karmanos Cancer Institute,1,3721899.0,3.721899,1.1123752543921357
Barbara Ann Karmanos Cancer Institute,1,3721899.0,3.721899,1.1123752543921357
Wayne State - Karmanos Cancer Institute,1,3721899.0,3.721899,1.1123752543921357
Barbara Ann Karmanos Cancer Institute (Wayne State University),1,3721899.0,3.721899,1.1123752543921357
University of Maryland Marlene and Stewart Greenebaum Comprehensive Cancer Center,1,3680982.0,3.680982,1.100146266371783
University of Maryland,1,3680982.0,3.680982,1.100146266371783
University of Maryland Greenebaum Comprehensive Cancer Center,1,3680982.0,3.680982,1.100146266371783
Loma Linda University Cancer Center,1,3600158.0,3.600158,1.0759901520975939
Swedish Cancer Institute,1,3548909.0,3.548909,1.060673207867688
Swedish Medical Center,1,3548909.0,3.548909,1.060673207867688
Providence Swedish Cancer Institute,1,3548909.0,3.548909,1.060673207867688
Fred Hutch Cancer Center,1,3518625.0,3.518625,1.051622136840771
Fred Hutch/University of Washington Cancer Consortium,1,3518625.0,3.518625,1.051622136840771
